1sup,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,15:3:41:7,15:16:37:401,,,,,,,,,,
,1,15:03:41,15:06:41,,,,,,,,,,
,2,,15:08:57,,,,,,,,,,
,3,,15:10:45,,,0:12:56,0:14:25,0:10:07,,,,,
,4,,15:16:37,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,15:30:41:014,15:45:06,,,,,,,,,,
,1,15:30:41,15:36:24,,,,,,,,,,
,2,,15:39:09,,,,,,,,,,
,3,,15:41:13,,,,,,,,,,
,4,,15:45:06,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,15:46:9:108,15:56:16:36,,,,,,,,,,
,1,15:46:09,15:47:37,,,,,,,,,,
,2,,15:50:41,,,,,,,,,,
,3,,15:52:55,,,,,,,,,,
,4,,15:56:16,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
18,18kom,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,11:4:16:672,11:15:51:627,,,,,,,,,,
,1,11:04:16,11:06:27,,,0:11:35,0:12:48,0:17:01,,,,,
,2,,11:9,,,,,,,,,,
,3,,11:13:36,,,,,,,,,,
,4,,11:15:51,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,11:16:33:167,11:29:21:459,,,,,,,,,,
,1,11:16:33,11:20:47,,,,,,,,,,
,2,,11:23:10,,,,,,,,,,
,3,,11:24:42,,,,,,,,,,
,4,,11:29:21,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,11:29:54:147,11:46:55:514,,,,,,,,,,
,1,11:29:54,11:36:20,,,,,,,,,,
,2,,11:39:02,,,,,,,,,,
,3,,11:44:36,,,,,,,,,,
,4,,11:46:55,,,,,,,,,,
,,,,,,,,,,,,,
19,19tri,,,,,,,,,,,,
,,,,,,,,,,,,,
,:02,start,end,,,,,,,,,,
Type 1,,12:24:57:240,12:40:07:310,,,,,,,,,,
,1,12:24:57,12:29:16,,,,,,,,,,
,2,,12:32:15,,,,,,,,,,
,3,,12:35:42,,,,,,,,,,
